Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,3.54,3.7833300000000003,3.54,3.66667,2.012854,1736271.0
2009-01-05,3.6783300000000003,3.7666699999999995,3.55,3.72667,2.0457919999999996,2843871.0
2009-01-06,3.72,4.066669999999999,3.72,4.055,2.226032,3290877.0
2009-01-07,4.00667,4.08333,3.8866699999999996,3.9433300000000004,2.164729,2534205.0
2009-01-08,3.83333,3.8833300000000004,3.7666699999999995,3.805,2.0887919999999998,1805292.0
2009-01-09,3.8066699999999996,3.97667,3.79333,3.88,2.1299639999999997,2070765.0
2009-01-12,3.8266699999999996,3.83667,3.58667,3.58667,1.968937,4218138.0
2009-01-13,3.5933300000000004,3.60333,3.35667,3.4866699999999997,1.9140419999999998,3908988.0
2009-01-14,3.44,3.5116699999999996,3.22233,3.295,1.8088220000000002,2195478.0
2009-01-15,3.27333,3.306,3.07333,3.07333,1.687134,3093579.0
2009-01-16,3.14667,3.18,3.0383299999999998,3.09433,1.698663,3426636.0
2009-01-19,3.13333,3.2866699999999995,2.98333,3.01067,1.652736,1929000.0
2009-01-20,3.01333,3.04267,2.77333,2.83333,1.555384,2027775.0
2009-01-21,2.79,2.98333,2.7483299999999997,2.92667,1.606624,3715347.0
2009-01-22,2.997,3.06333,2.75,2.817,1.546419,3412422.0
2009-01-23,2.8003299999999998,2.8166700000000002,2.66667,2.71133,1.4884110000000002,1992003.0
2009-01-26,2.7396700000000003,2.88,2.68567,2.85,1.564535,2450757.0
2009-01-27,2.86667,2.87,2.748,2.8686700000000003,1.574784,2040270.0
2009-01-28,2.92667,3.05733,2.91,3.023,1.659505,2690646.0
2009-01-29,3.01333,3.04,2.77333,2.86733,1.574049,2824443.0
2009-01-30,2.86667,2.98333,2.8043299999999998,2.9133299999999998,1.599301,2683800.0
2009-02-02,2.8733299999999997,2.903,2.77567,2.873,1.577161,2047386.0
2009-02-03,2.88667,2.91667,2.75067,2.87033,1.575695,2412003.0
2009-02-04,2.90333,3.13333,2.85467,3.05967,1.6796360000000001,2608293.0
2009-02-05,2.99667,3.1433299999999997,2.92333,3.12067,1.713122,3211641.0
2009-02-06,3.165,3.3666699999999996,3.15833,3.33667,1.831698,2484159.0
2009-02-09,3.3266699999999996,3.47,3.23333,3.4216699999999998,1.8783590000000001,2920860.0
2009-02-10,3.4033300000000004,3.41667,3.26,3.28,1.800588,2493975.0
2009-02-11,3.22267,3.2833300000000003,3.10367,3.20667,1.760332,3164007.0
2009-02-12,3.25333,3.6166699999999996,3.25033,3.4666699999999997,1.9030619999999998,5126148.0
2009-02-13,3.3666699999999996,3.5333300000000003,3.35333,3.4883300000000004,1.914953,3093705.0
2009-02-16,3.48,3.65,3.41833,3.55,1.948807,1842786.0
2009-02-17,3.6,3.6,3.41,3.4666699999999997,1.9030619999999998,1759281.0
2009-02-18,3.47,3.5333300000000003,3.395,3.4866699999999997,1.9140419999999998,2725455.0
2009-02-19,3.5,3.695,3.445,3.64,1.998213,2812767.0
2009-02-20,3.5133300000000003,3.615,3.4533300000000002,3.5166699999999995,1.930511,3918282.0
2009-02-23,3.525,3.5566699999999996,3.11667,3.11667,1.710926,4428744.0
2009-02-24,3.0383299999999998,3.14667,3.00333,3.09333,1.698114,3091365.0
2009-02-25,3.19333,3.3313300000000003,3.09667,3.11767,1.711475,2967780.0
2009-02-26,3.3266699999999996,3.47,3.23333,3.31167,1.8179740000000002,2920860.0
2009-02-27,3.2403299999999997,3.4,3.205,3.3,1.811567,2696211.0
2009-03-02,3.221,3.313,3.14033,3.223,1.7692970000000001,1878780.0
2009-03-03,3.3266699999999996,3.36,3.19667,3.257,1.7879619999999998,1991652.0
2009-03-04,3.2636700000000003,3.35,3.2,3.2833300000000003,1.802416,2669643.0
2009-03-05,3.24233,3.33333,3.05333,3.08867,1.695556,4043112.0
2009-03-06,3.08,3.19633,3.0,3.05,1.6743270000000001,3131118.0
2009-03-09,3.05333,3.11667,3.00333,3.0666700000000002,1.6834779999999998,2767824.0
2009-03-10,3.11267,3.3266699999999996,3.0666700000000002,3.288,1.80498,3145611.0
2009-03-11,3.24333,3.53,3.15433,3.35333,1.840843,3127302.0
2009-03-12,3.33333,3.46,3.2,3.415,1.874697,3015129.0
2009-03-13,3.4833300000000005,3.53,3.42,3.4233300000000004,1.87927,2542719.0
2009-03-16,3.4733300000000003,3.6,3.39667,3.5,1.921359,1432230.0
2009-03-17,3.47,3.5283300000000004,3.375,3.5033300000000005,1.923187,1748889.0
2009-03-18,3.575,3.6983300000000003,3.5333300000000003,3.625,1.9899790000000002,2014647.0
2009-03-19,3.685,3.7966699999999998,3.62333,3.75167,2.059515,1770402.0
2009-03-20,3.6716699999999998,3.7816699999999996,3.6283300000000005,3.70833,2.035723,1722357.0
2009-03-23,3.78,3.83333,3.6366699999999996,3.79,2.0805569999999998,2351289.0
2009-03-24,3.8016699999999997,3.9466699999999997,3.75167,3.8483300000000003,2.112578,2665809.0
2009-03-25,3.80833,3.8833300000000004,3.75,3.83,2.102516,1962627.0
2009-03-26,3.80833,3.83667,3.74,3.8266699999999996,2.100688,1397595.0
2009-03-27,3.80833,4.055,3.80833,3.91,2.146432,1959039.0
2009-03-30,3.815,3.815,3.53,3.56333,1.9561240000000002,2222871.0
2009-03-31,3.58333,3.7,3.58333,3.66833,2.0137650000000002,1610868.0
2009-04-01,3.6283300000000005,3.8833300000000004,3.5916699999999997,3.8283300000000002,2.101599,1581120.0
2009-04-02,3.9266699999999997,4.18,3.9216699999999998,4.15333,2.280011,3009054.0
2009-04-03,4.13333,4.56,4.111669999999999,4.473330000000001,2.455678,5170833.0
2009-04-06,4.55333,4.7,4.37333,4.45833,2.447443,3309018.0
2009-04-07,4.433330000000001,4.48,4.1416699999999995,4.271669999999999,2.344975,2787027.0
2009-04-08,4.17333,4.473330000000001,4.106669999999999,4.316669999999999,2.369678,3059763.0
2009-04-09,4.34,4.58833,4.30333,4.46333,2.4501880000000003,2356428.0
2009-04-14,4.486669999999999,5.0233300000000005,4.4316699999999996,4.933330000000001,2.7082,6245763.0
2009-04-15,4.83667,4.99667,4.7666699999999995,4.9366699999999994,2.710033,3056442.0
2009-04-16,4.965,5.075,4.853330000000001,5.026669999999999,2.759439,2635932.0
2009-04-17,5.00333,5.151669999999999,4.96667,5.07833,2.787798,2157858.0
2009-04-20,4.905,4.925,4.67,4.73,2.59658,2730888.0
2009-04-21,4.69,4.87333,4.46667,4.6866699999999994,2.572793,2486664.0
2009-04-22,4.66667,4.835,4.53833,4.808330000000001,2.639579,3195186.0
2009-04-23,4.736669999999999,4.905,4.66833,4.82,2.645986,3112257.0
2009-04-24,4.75167,4.945,4.6866699999999994,4.83333,2.653304,2622600.0
2009-04-27,4.8,5.37333,4.79333,5.29333,2.905825,3260643.0
2009-04-28,5.205,5.24667,5.0,5.115,2.807929,2851347.0
2009-04-29,5.1,5.21333,5.013330000000001,5.17,2.8381220000000003,1983678.0
2009-04-30,5.16667,5.3133300000000006,5.16667,5.23833,2.875632,1668333.0
2009-05-04,5.308330000000001,5.5166699999999995,5.17,5.5166699999999995,3.0284299999999997,1668528.0
2009-05-05,5.59667,5.72,5.41,5.66167,3.108029,2158341.0
2009-05-06,5.675,5.73,5.603330000000001,5.6816699999999996,3.119008,2837196.0
2009-05-07,5.7333300000000005,5.88667,5.415,5.49333,3.0156169999999998,3175302.0
2009-05-08,5.57,5.63333,5.45833,5.54833,3.04581,1924014.0
2009-05-11,5.53167,5.53667,5.13667,5.29167,2.9049139999999998,2888991.0
2009-05-12,5.27,5.49833,5.15333,5.23,2.871059,1848810.0
2009-05-13,5.23,5.28667,4.87167,4.95167,2.718267,3113670.0
2009-05-14,4.89,4.8983300000000005,4.685,4.8116699999999994,2.641413,3450108.0
2009-05-15,4.83333,4.86,4.67,4.78,2.624027,2162823.0
2009-05-18,4.70167,4.9,4.7,4.80333,2.636834,2207214.0
2009-05-19,4.83667,5.04,4.816669999999999,4.86667,2.671606,2312043.0
2009-05-20,4.8,4.981669999999999,4.63333,4.84333,2.658793,2093304.0
2009-05-21,4.7733300000000005,4.79333,4.605,4.66,2.558152,1742676.0
2009-05-22,4.69667,4.69667,4.415,4.48,2.459339,2469279.0
2009-05-25,4.49,4.5,4.353330000000001,4.385,2.407188,706029.0
2009-05-26,4.37,4.473330000000001,4.2733300000000005,4.43,2.431891,3366693.0
2009-05-27,4.473330000000001,4.55167,4.27,4.3516699999999995,2.388891,2947728.0
2009-05-28,4.2666699999999995,4.57833,4.2333300000000005,4.50667,2.47398,4185750.0
2009-05-29,4.5683300000000004,4.82667,4.52,4.66,2.558152,14942121.0
2009-06-01,4.80167,4.94667,4.74,4.893330000000001,2.686241,2433180.0
2009-06-02,4.86667,5.13333,4.83667,5.00667,2.7484599999999997,2259750.0
2009-06-03,5.01,5.07,4.606669999999999,4.6483300000000005,2.551746,3963663.0
2009-06-04,4.63333,4.675,4.41667,4.5233300000000005,2.483126,4925769.0
2009-06-05,4.62667,4.62667,4.505,4.53167,2.487704,2070282.0
2009-06-08,4.51,4.566669999999999,4.37167,4.41333,2.42274,1200189.0
2009-06-09,4.4433300000000004,4.67,4.4,4.606669999999999,2.528876,3163758.0
2009-06-10,4.691669999999999,4.7333300000000005,4.65,4.683330000000001,2.57096,2215737.0
2009-06-11,4.83333,5.16167,4.83333,5.08167,2.789632,5689260.0
2009-06-12,5.075,5.15667,5.05,5.08667,2.792377,2829024.0
2009-06-15,5.08667,5.09,4.808330000000001,4.861669999999999,2.668861,2119044.0
2009-06-16,4.816669999999999,4.82,4.64,4.6866699999999994,2.572793,2324271.0
2009-06-17,4.691669999999999,4.7733300000000005,4.38333,4.433330000000001,2.43372,3405372.0
2009-06-18,4.41333,4.4366699999999994,4.21667,4.305,2.363271,2946066.0
